name;type;frequency;tolerance;minfrequency;maxfrequency;priority;squelchlevel
9. KPN Download (28);3;0;0;768000;778000;4;5
9. KPN Upload (28);3;0;0;713000;723000;4;5
9. PAMR Download;3;0;0;461800;464800;4;5
9. PAMR Upload;3;0;0;451800;454800;4;5
9. T-Mobile Download (28);3;0;0;778000;788000;4;5
9. T-Mobile Upload (28);3;0;0;723000;733000;4;5
9. Vodafone Download (28);3;0;0;758000;768000;4;5
9. Vodafone Upload (28);3;0;0;703000;713000;4;5
9. T-Mobile Download (20);3;0;0;791000;801000;4;5
9. T-Mobile Upload (20);3;0;0;832000;842000;4;5
9. Vodafone Download (20);3;0;0;801000;811000;4;5
9. Vodafone Upload (20);3;0;0;842000;852000;4;5
9. KPN Download (20);3;0;0;811000;821000;4;5
9. KPN Upload (20);3;0;0;852000;862000;4;5
9. Vodafone Download (8);3;0;0;925000;935000;4;5
9. Vodafone Upload (8);3;0;0;880000;890000;4;5
9. KPN Download (8);3;0;0;935000;945000;4;5
9. KPN Upload (8);3;0;0;890000;900000;4;5
9. T-Mobile Download (8);3;0;0;945000;960000;4;5
9. T-Mobile Upload (8);3;0;0;900000;915000;4;5
9. Vodafone Download (32);3;0;0;1452000;1467000;4;5
9. KPN Download (32);3;0;0;1467000;1482000;4;5
9. T-Mobile Download (32);3;0;0;1482000;1492000;4;5
9. Vodafone Download (1);3;0;0;2110000;2130000;4;5
9. Vodafone Upload (1);3;0;0;1920000;1940000;4;5
9. T-Mobile Download (1);3;0;0;2130000;2150000;4;5
9. T-Mobile Upload (1);3;0;0;1940000;1960000;4;5
9. KPN Download (1);3;0;0;2150000;2170000;4;5
9. KPN Upload (1);3;0;0;1960000;1980000;4;5
9. T-Mobile Duplex (38);3;0;0;2565000;2590000;4;5
9. KPN Duplex (38);3;0;0;2590000;2620000;4;5
9. Vodafone Download (7);3;0;0;2620000;2630000;4;5
9. Vodafone Upload (7);3;0;0;2500000;2510000;4;5
9. VodafoneZiggo Download (7);3;0;0;2630000;2650000;4;5
9. VodafoneZiggo Upload (7);3;0;0;2510000;2530000;4;5
9. T-Mobile Download (7);3;0;0;2650000;2655000;4;5
9. T-Mobile Upload (7);3;0;0;2530000;2535000;4;5
9. KPN Download (7);3;0;0;2655000;2665000;4;5
9. KPN Upload (7);3;0;0;2535000;2545000;4;5
9. T-MobileTele2 Download (7);3;0;0;2665000;2685000;4;5
9. T-MobileTele2 Upload (7);3;0;0;2545000;2565000;4;5
